codigo;produto;familia;contextos;proteina_padrao;setor_default;revisar_setor
1376;BOWL |  SALMÃO MAÇARICADO - LJDN;Peixaria / Proteínas;Peixaria / Proteínas;Salmão inteiro fresco;POKE;NÃO
1372;BOWL |  SHRIMP-LJDN;Peixaria / Proteínas;Peixaria / Proteínas;;POKE;NÃO
1370;BOWL |  SPECIAL CHICKEN-LJDN;Peixaria / Proteínas;Peixaria / Proteínas;;POKE;NÃO
1373;BOWL |  STEAK & HOMUS;Outros;Outros;;POKE;NÃO
5670;BRISA - MIX;Sushi / Japonês;Peixaria / Proteínas | Rodízio | Sushi / Japonês;;SUSHI_BAR;NÃO
5648;BRISA - SALMOM;Sushi / Japonês;Peixaria / Proteínas | Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;NÃO
5646;BRISA -ATUM;Sushi / Japonês;Rodízio | Sushi / Japonês;Atum para sashimi;SUSHI_BAR;NÃO
5647;BRISA -PEIXE BRANCO;Sushi / Japonês;Rodízio | Sushi / Japonês;Peixe branco para sushi;SUSHI_BAR;NÃO
5541;BRIZA MIX;Outros;Rodízio;;SUSHI_BAR;NÃO
1385;BRÓCOLIS AMERICANO-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5428;BURRITO -CAMARAO;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio;Camarão 31/40;KITCHEN;NÃO
340;BURRITO CARNE MEX;Peixaria / Proteínas;Rodízio;;KITCHEN;NÃO
1149;BURRITO POLLO CROC-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
997;BURRITO POLLO DESFIADO-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
998;BURRITO PORK-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
337;BURRITO STEAK MEX;Outros;Rodízio;;KITCHEN;NÃO
995;BURRITO VEGGIE-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5307;BURRITOS-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
828;CAMARÃO;Peixaria / Proteínas;Peixaria / Proteínas | Poke Kauai;Camarão 31/40;POKE;NÃO
1415;CASTANHA DE CAJÚ-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5405;CB  CHEFF- 20PEÇAS;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5418;CB CHEF-15 PEÇAS;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5885;CB CHEFF PREMIUM-RDZ;Rodízio;Rodízio;;SUSHI_BAR;SIM
5884;CB CHEFF TRADICIONAL-RDZ;Rodízio;Rodízio;;SUSHI_BAR;SIM
5406;CB CHEFF- 30 PEÇAS;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
855;CEBOLA CRISPY-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
1386;CEBOLA ROXA-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5469;CHEFF-BRISA;Sushi / Japonês;Sushi / Japonês;;SUSHI_BAR;NÃO
1416;CHIA-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
838;CHIPS DE BATATA DOCE;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
5882;COMB  CHEF - 15UNDS PREMIUM;Outros;Outros | Rodízio;;SUSHI_BAR;NÃO
5417;COMB  CHEF - 20UNDS;Outros;Rodízio;;SUSHI_BAR;NÃO
5880;COMB  CHEF - 20UNDS PREMIUM;Outros;Outros | Rodízio;;SUSHI_BAR;NÃO
5419;COMB CHEF - 30UNDS;Outros;Rodízio;;SUSHI_BAR;NÃO
5881;COMB CHEF - 30UNDS PREMIUM;Outros;Outros | Rodízio;;SUSHI_BAR;NÃO
1535;COUVE CRISPY -AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1392;CREAM CHEESE-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
6052;Ceviche de Peixe Branco;Peixaria / Proteínas;Peixaria / Proteínas | Rodízio | Sushi / Japonês;Peixe branco para sushi;SUSHI_BAR;NÃO
1396;EDAMAME-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5998;ESPETO DE CAMARAO-RDZ;Rodízio;Rodízio;Camarão 31/40;KITCHEN;NÃO
5700;ESPETO DE CARNE-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5999;ESPETO DE FRANGO-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5662;ESPETOS  -JP RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5638;ESPUMA DE PONZU;Outros;Rodízio | Sushi / Japonês;;SUSHI_BAR;SIM
5892;Entradas & Acomp -JP RDZ;Rodízio;Rodízio;;SUSHI_BAR;SIM
5637;FLOR DE SAL;Outros;Rodízio | Sushi / Japonês;;SUSHI_BAR;SIM
1361;FRANGO CROCANTE - PROTEINA;Peixaria / Proteínas;Peixaria / Proteínas | Poke Kauai;;KITCHEN;NÃO
1383;GUACAMOLE -AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5346;GUACAMOLE -PO;Outros;Outros | Rodízio;;SUSHI_BAR;SIM
5663;GUIOSA  -JP RDZ;Rodízio;Rodízio;;SUSHI_BAR;SIM
5702;GUIOSA DE FRANGO-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
5701;GUIOSA DE PORK-RDZ;Rodízio;Rodízio;;SUSHI_BAR;SIM
5645;HAND ROLLS -JP RDZ;Rodízio;Rodízio;;SUSHI_BAR;NÃO
5681;HAND ⁠ROLL- ATUM;Sushi / Japonês;Rodízio | Sushi / Japonês;Atum para sashimi;SUSHI_BAR;SIM
5678;HAND ⁠ROLL- CAMARAO;Sushi / Japonês;Rodízio;Camarão 31/40;SUSHI_BAR;SIM
